"Inoculum","Genus","CS_duo","CS_type_duo","CS1_mono","CS2_mono","epsi_mean","epsi_sd","t.outcome"
1,"Achromobacter","glucose_benzoate","SA","glucose","benzoate",-0.000321164677066051,0.000283586965571006,"ns"
1,"Achromobacter","glucose_fructose","SS","glucose","fructose",-0.000305400668444948,0.0002011616955048,"ns"
1,"Achromobacter","glucose_fumarate","SA","glucose","fumarate",-0.00305710707765125,0.000742261588910456,"signif"
1,"Achromobacter","glucose_glutamine","SA","glucose","glutamine",0.00202158020271423,0.00406438498680249,"ns"
1,"Achromobacter","glucose_glycerol","SS","glucose","glycerol",-0.000324024303503284,0.000107536720335435,"signif"
1,"Achromobacter","glucose_glycine","SA","glucose","glycine",-0.0343606230492979,0.0328166995670146,"ns"
1,"Achromobacter","glucose_ribose","SS","glucose","ribose",-0.000293552724382555,0.000171807229402919,"ns"
1,"Achromobacter","succinate_benzoate","AA","succinate","benzoate",-0.00104710495903901,0.000484923468227806,"signif"
1,"Achromobacter","succinate_cellobiose","SA","succinate","cellobiose",-0.000686235935630337,0.000229799089672776,"signif"
1,"Achromobacter","succinate_fructose","SA","succinate","fructose",-0.00085094870006467,0.000304278942291726,"signif"
1,"Achromobacter","succinate_fumarate","AA","succinate","fumarate",0.000425913776374515,0.00171894559880553,"ns"
1,"Achromobacter","succinate_glutamine","AA","succinate","glutamine",-0.00131261284659552,0.000733644330986513,"signif"
1,"Achromobacter","succinate_glycerol","SA","succinate","glycerol",-0.000901859763461493,0.000366106641055655,"signif"
1,"Achromobacter","succinate_glycine","AA","succinate","glycine",-0.0379892962615915,0.0352228614535495,"ns"
1,"Achromobacter","succinate_ribose","SA","succinate","ribose",-0.000930821530590398,0.000330219528218248,"signif"
1,"Acinetobacter","glucose_benzoate","SA","glucose","benzoate",-0.00339207103164709,0.00271779167136465,"ns"
1,"Acinetobacter","glucose_cellobiose","SS","glucose","cellobiose",-0.00054845410470002,0.000472161635965234,"ns"
1,"Acinetobacter","glucose_fructose","SS","glucose","fructose",-0.00174418525381334,0.000476706523411198,"signif"
1,"Acinetobacter","glucose_fumarate","SA","glucose","fumarate",-0.18867450110531,0.0390835167277606,"signif"
1,"Acinetobacter","glucose_glutamine","SA","glucose","glutamine",-0.00317214880896817,0.00313062806430885,"ns"
1,"Acinetobacter","glucose_glycerol","SS","glucose","glycerol",-0.000181816640445163,0.000196518588550725,"ns"
1,"Acinetobacter","glucose_glycine","SA","glucose","glycine",-0.00126869995758366,0.00213751514578274,"ns"
1,"Acinetobacter","glucose_ribose","SS","glucose","ribose",-0.00159473526640551,0.000418794181240309,"signif"
1,"Acinetobacter","succinate_benzoate","AA","succinate","benzoate",-0.149704170377215,0.185023637861013,"ns"
1,"Acinetobacter","succinate_cellobiose","SA","succinate","cellobiose",-0.104372475345244,0.132545316622799,"ns"
1,"Acinetobacter","succinate_fructose","SA","succinate","fructose",-0.103920638416087,0.130676408720919,"ns"
1,"Acinetobacter","succinate_fumarate","AA","succinate","fumarate",0.017655000356063,0.1147750568861,"ns"
1,"Acinetobacter","succinate_glutamine","AA","succinate","glutamine",0.109567780704505,0.142601728496549,"ns"
1,"Acinetobacter","succinate_glycerol","SA","succinate","glycerol",-0.117110107867706,0.148778366800327,"ns"
1,"Acinetobacter","succinate_glycine","AA","succinate","glycine",0.187354620355282,0.300830869047132,"ns"
1,"Acinetobacter","succinate_ribose","SA","succinate","ribose",-0.119856827763337,0.150363345461127,"ns"
1,"Aeromonas","glucose_fructose","SS","glucose","fructose",-0.000250356482108326,0.000313485601542694,"ns"
1,"Aeromonas","glucose_fumarate","SA","glucose","fumarate",-0.00050084872848013,0.000390431668713798,"ns"
1,"Aeromonas","succinate_fructose","SA","succinate","fructose",-0.000252110368333084,0.000445196982056502,"ns"
1,"Aeromonas","succinate_fumarate","AA","succinate","fumarate",-0.000574621946173303,0.000403769678442411,"signif"
1,"Alcaligenes","glucose_benzoate","SA","glucose","benzoate",-0.000146438172658581,7.53003084738424e-05,"signif"
1,"Alcaligenes","glucose_cellobiose","SS","glucose","cellobiose",-0.000105752492946919,5.4408073927871e-05,"signif"
1,"Alcaligenes","glucose_fructose","SS","glucose","fructose",-0.000104284454280219,5.37000513620158e-05,"signif"
1,"Alcaligenes","glucose_fumarate","SA","glucose","fumarate",-8.63805869982877e-05,4.47573235350225e-05,"signif"
1,"Alcaligenes","glucose_glutamine","SA","glucose","glutamine",-0.000111206989840261,5.72523416902879e-05,"signif"
1,"Alcaligenes","glucose_glycerol","SS","glucose","glycerol",-0.000118282065025322,6.05989168531844e-05,"signif"
1,"Alcaligenes","glucose_glycine","SA","glucose","glycine",-0.00012798987722328,6.5474658615247e-05,"ns"
1,"Alcaligenes","glucose_ribose","SS","glucose","ribose",-0.000119336942020468,6.1245106156568e-05,"signif"
1,"Azomonas","glucose_fumarate","SA","glucose","fumarate",-0.00157695317054374,0.000625553826803024,"signif"
1,"Azomonas","succinate_fumarate","AA","succinate","fumarate",0.0973587062767054,0.0279520412533717,"signif"
1,"Brevundimonas","succinate_benzoate","AA","succinate","benzoate",-0.000819566387020211,0.00104489771677913,"ns"
1,"Brevundimonas","succinate_cellobiose","SA","succinate","cellobiose",-0.000589734488028283,0.000724493208280454,"ns"
1,"Brevundimonas","succinate_fructose","SA","succinate","fructose",-0.000580515532144734,0.000713077242160645,"ns"
1,"Brevundimonas","succinate_fumarate","AA","succinate","fumarate",-0.000470975297163671,0.000575468651008592,"ns"
1,"Brevundimonas","succinate_glutamine","AA","succinate","glutamine",-0.000616627582189552,0.000748002872213972,"ns"
1,"Brevundimonas","succinate_glycerol","SA","succinate","glycerol",-0.000669475824366185,0.000825732920141682,"ns"
1,"Brevundimonas","succinate_glycine","AA","succinate","glycine",-0.000336752398549075,0.00100139986038891,"ns"
1,"Brevundimonas","succinate_ribose","SA","succinate","ribose",-0.00067678798496531,0.000835464099330006,"ns"
1,"Chryseobacterium","glucose_benzoate","SA","glucose","benzoate",-0.000212810732322095,0.000153064676367138,"ns"
1,"Chryseobacterium","glucose_fumarate","SA","glucose","fumarate",-0.00158122919954612,0.00152141142739471,"ns"
1,"Chryseobacterium","glucose_glutamine","SA","glucose","glutamine",-0.00222676480864978,0.00208894681835441,"ns"
1,"Chryseobacterium","succinate_benzoate","AA","succinate","benzoate",-0.00247840666851723,0.01666144796436,"ns"
1,"Chryseobacterium","succinate_cellobiose","SA","succinate","cellobiose",-0.00722069346716472,0.0120129218433246,"ns"
1,"Chryseobacterium","succinate_fructose","SA","succinate","fructose",-0.00710738952790861,0.0118242665099172,"ns"
1,"Chryseobacterium","succinate_fumarate","AA","succinate","fumarate",0.027616981862497,0.0529638857977554,"ns"
1,"Chryseobacterium","succinate_glutamine","AA","succinate","glutamine",-0.00806643197355533,0.0113064290951194,"ns"
1,"Chryseobacterium","succinate_glycerol","SA","succinate","glycerol",-0.00767603712257783,0.0132369866864174,"ns"
1,"Chryseobacterium","succinate_glycine","AA","succinate","glycine",-0.00629735716327256,0.012338525478984,"ns"
1,"Chryseobacterium","succinate_ribose","SA","succinate","ribose",-0.00830727265379138,0.0138301611548195,"ns"
1,"Citrobacter","glucose_benzoate","SA","glucose","benzoate",-0.0657606968177945,0.00840955805980316,"signif"
1,"Citrobacter","glucose_cellobiose","SS","glucose","cellobiose",0.00538340168214009,0.00732101063842073,"ns"
1,"Citrobacter","glucose_fructose","SS","glucose","fructose",0.00739880475276619,0.00752168489894152,"ns"
1,"Citrobacter","glucose_fumarate","SA","glucose","fumarate",-0.0420462512752703,0.00326215293504148,"signif"
1,"Citrobacter","glucose_glutamine","SA","glucose","glutamine",0.0228575048444546,0.0659770194726185,"ns"
1,"Citrobacter","glucose_glycerol","SS","glucose","glycerol",0.0446457438021971,0.0153891552753352,"signif"
1,"Citrobacter","glucose_glycine","SA","glucose","glycine",0.105404618390835,0.0168736086669647,"signif"
1,"Citrobacter","glucose_ribose","SS","glucose","ribose",0.0074137387592863,0.0266133837171227,"ns"
1,"Citrobacter","succinate_benzoate","AA","succinate","benzoate",-0.00301041099618289,0.00173541296096015,"signif"
1,"Citrobacter","succinate_cellobiose","SA","succinate","cellobiose",-0.000699699734452972,0.0148854881037425,"ns"
1,"Citrobacter","succinate_fructose","SA","succinate","fructose",0.0293513063573149,0.0439114202620045,"ns"
1,"Citrobacter","succinate_fumarate","AA","succinate","fumarate",-0.000232639092844293,0.00191755138346404,"ns"
1,"Citrobacter","succinate_glutamine","AA","succinate","glutamine",0.00647114248952273,0.00599217137872499,"ns"
1,"Citrobacter","succinate_glycerol","SA","succinate","glycerol",0.0503245830254328,0.0094611326828907,"signif"
1,"Citrobacter","succinate_glycine","AA","succinate","glycine",0.00589783298248236,0.00420391195203993,"ns"
1,"Citrobacter","succinate_ribose","SA","succinate","ribose",-0.0192141832789826,0.0225745808463114,"ns"
1,"Comamonadaceae.1","succinate_fumarate","AA","succinate","fumarate",0.0208570762514797,0.00829068057512874,"signif"
1,"Delftia","glucose_benzoate","SA","glucose","benzoate",-0.00109409849625943,0.000465761551693425,"signif"
1,"Delftia","glucose_cellobiose","SS","glucose","cellobiose",-0.000552395454089645,0.000275009024716132,"signif"
1,"Delftia","glucose_fructose","SS","glucose","fructose",-0.000469083043495438,0.000256991696554396,"signif"
1,"Delftia","glucose_fumarate","SA","glucose","fumarate",0.0019901674038974,0.00509062513174494,"ns"
1,"Delftia","glucose_glutamine","SA","glucose","glutamine",-0.087054079538027,0.0187166829711772,"signif"
1,"Delftia","glucose_glycerol","SS","glucose","glycerol",-0.000348858907604992,0.00021315125099289,"ns"
1,"Delftia","glucose_glycine","SA","glucose","glycine",-0.00755823268038066,0.00988394150326697,"ns"
1,"Delftia","glucose_ribose","SS","glucose","ribose",-0.00162582407849369,0.00185051114300696,"ns"
1,"Delftia","succinate_benzoate","AA","succinate","benzoate",-0.064444511148743,0.0688590512237625,"ns"
1,"Delftia","succinate_cellobiose","SA","succinate","cellobiose",-0.0460927168745798,0.0500083907810598,"ns"
1,"Delftia","succinate_fructose","SA","succinate","fructose",-0.045399662970406,0.0492248393156542,"ns"
1,"Delftia","succinate_fumarate","AA","succinate","fumarate",-0.0406097200879804,0.040796427906824,"ns"
1,"Delftia","succinate_glutamine","AA","succinate","glutamine",-0.139960522792212,0.0523943121953065,"signif"
1,"Delftia","succinate_glycerol","SA","succinate","glycerol",-0.0515466455269813,0.0557797939709016,"ns"
1,"Delftia","succinate_glycine","AA","succinate","glycine",-0.000312236041935794,0.115313630864853,"ns"
1,"Delftia","succinate_ribose","SA","succinate","ribose",-0.0524323662353096,0.056161679656288,"ns"
1,"Elizabethkingia","glucose_benzoate","SA","glucose","benzoate",-0.0622494167381773,0.0164025565873428,"signif"
1,"Elizabethkingia","glucose_cellobiose","SS","glucose","cellobiose",-0.000286936933163143,0.000277926793154535,"ns"
1,"Elizabethkingia","glucose_fructose","SS","glucose","fructose",-0.000454076810353259,0.000376161523468681,"ns"
1,"Elizabethkingia","glucose_fumarate","SA","glucose","fumarate",-0.000428799550911393,0.000364219774787733,"ns"
1,"Elizabethkingia","glucose_glutamine","SA","glucose","glutamine",-0.0611251650431471,0.0126666434624767,"signif"
1,"Elizabethkingia","glucose_glycerol","SS","glucose","glycerol",-0.000280310457853283,0.000304372323680322,"ns"
1,"Elizabethkingia","glucose_glycine","SA","glucose","glycine",-0.00905959755749799,0.00112957798387907,"signif"
1,"Elizabethkingia","glucose_ribose","SS","glucose","ribose",-0.000995013958041076,0.00112576915561875,"ns"
1,"Elizabethkingia","succinate_benzoate","AA","succinate","benzoate",0.117896466191804,0.0526707064289557,"signif"
1,"Elizabethkingia","succinate_cellobiose","SA","succinate","cellobiose",-0.000414030223422768,0.000259962183458932,"ns"
1,"Elizabethkingia","succinate_fructose","SA","succinate","fructose",-0.000634623768245161,0.000371806787738604,"ns"
1,"Elizabethkingia","succinate_fumarate","AA","succinate","fumarate",-0.000574254481474682,0.000361983811576455,"ns"
1,"Elizabethkingia","succinate_glutamine","AA","succinate","glutamine",-0.0652174398157399,0.0141093769765178,"signif"
1,"Elizabethkingia","succinate_glycerol","SA","succinate","glycerol",-0.000383947508080579,0.000297392947234134,"ns"
1,"Elizabethkingia","succinate_glycine","AA","succinate","glycine",0.0265418113214503,0.0632026117838596,"ns"
1,"Elizabethkingia","succinate_ribose","SA","succinate","ribose",-0.00117352466355751,0.00120337685053549,"ns"
1,"Empedobacter","glucose_glutamine","SA","glucose","glutamine",-0.00151787530205276,0.00141998527390705,"ns"
1,"Empedobacter","succinate_glutamine","AA","succinate","glutamine",-0.00161634317374103,0.00151786980415176,"ns"
1,"Ensifer","succinate_fumarate","AA","succinate","fumarate",0.000468223094748516,0.000231259899229832,"signif"
1,"Enterobacter","glucose_benzoate","SA","glucose","benzoate",0.475393751607184,0.0279332790622168,"signif"
1,"Enterobacter","glucose_cellobiose","SS","glucose","cellobiose",-0.00744456888145467,0.00324096600943553,"signif"
1,"Enterobacter","glucose_fructose","SS","glucose","fructose",0.00114659849032451,0.00232819699368037,"ns"
1,"Enterobacter","glucose_fumarate","SA","glucose","fumarate",-0.00401582448137296,0.0130110038329763,"ns"
1,"Enterobacter","glucose_glutamine","SA","glucose","glutamine",0.296847889907551,0.103493858629143,"signif"
1,"Enterobacter","glucose_glycerol","SS","glucose","glycerol",-0.00121418087755301,0.000373394077924353,"signif"
1,"Enterobacter","glucose_glycine","SA","glucose","glycine",-0.00131558028117849,0.000406094451987843,"ns"
1,"Enterobacter","glucose_ribose","SS","glucose","ribose",-0.0211763514777355,0.0258113933391516,"ns"
1,"Enterobacter","succinate_benzoate","AA","succinate","benzoate",0.00332773168613344,0.00469520420075515,"ns"
1,"Enterobacter","succinate_cellobiose","SA","succinate","cellobiose",0.179103458089992,0.0343928952458466,"signif"
1,"Enterobacter","succinate_fructose","SA","succinate","fructose",0.0873501899224133,0.0910042072470934,"ns"
1,"Enterobacter","succinate_fumarate","AA","succinate","fumarate",-0.0135186053316812,0.00598544708990368,"signif"
1,"Enterobacter","succinate_glutamine","AA","succinate","glutamine",-0.00250847364336576,0.00325148589171868,"ns"
1,"Enterobacter","succinate_glycine","AA","succinate","glycine",-0.00146153045753727,0.00284755805361069,"ns"
1,"Enterobacter","succinate_ribose","SA","succinate","ribose",0.161219644775297,0.0576251820894825,"signif"
1,"Enterobacteriaceae.2","succinate_ribose","SA","succinate","ribose",0.0423739385783074,0.0389356381067653,"ns"
1,"Enterobacteriaceae.7","glucose_benzoate","SA","glucose","benzoate",-0.00396657637346755,0.00498270649600619,"ns"
1,"Enterobacteriaceae.7","glucose_cellobiose","SS","glucose","cellobiose",-0.00286402549749163,0.0036139943841375,"ns"
1,"Enterobacteriaceae.7","glucose_fructose","SS","glucose","fructose",0.000585484040720565,0.00482095227883638,"ns"
1,"Enterobacteriaceae.7","glucose_fumarate","SA","glucose","fumarate",-0.002340729980093,0.00296228058753173,"ns"
1,"Enterobacteriaceae.7","glucose_glutamine","SA","glucose","glutamine",-0.00224978825883524,0.00386432787477165,"ns"
1,"Enterobacteriaceae.7","glucose_glycerol","SS","glucose","glycerol",0.00291360911285034,0.01132992512993,"ns"
1,"Enterobacteriaceae.7","glucose_glycine","SA","glucose","glycine",-0.00342118190069199,0.00361242745256657,"ns"
1,"Enterobacteriaceae.7","glucose_ribose","SS","glucose","ribose",-0.00161642834638407,0.00769408038451314,"ns"
1,"Enterobacteriaceae.7","succinate_fructose","SA","succinate","fructose",0.00170083833333333,0.000386244799536943,"signif"
1,"Enterobacteriaceae.7","succinate_ribose","SA","succinate","ribose",-0.00431823006677414,0.00370175152985358,"ns"
1,"Enterobacteriaceae.8","glucose_benzoate","SA","glucose","benzoate",-0.00673572441995873,0.00194563721853113,"signif"
1,"Enterobacteriaceae.8","glucose_cellobiose","SS","glucose","cellobiose",0.0133676955286245,0.0153049516466059,"ns"
1,"Enterobacteriaceae.8","glucose_fructose","SS","glucose","fructose",-0.00126251472062861,0.011399582637684,"ns"
1,"Enterobacteriaceae.8","glucose_fumarate","SA","glucose","fumarate",0.587899681086126,0.0876352397681514,"signif"
1,"Enterobacteriaceae.8","glucose_glutamine","SA","glucose","glutamine",0.00502585980467208,0.0121435996220751,"ns"
1,"Enterobacteriaceae.8","glucose_glycerol","SS","glucose","glycerol",-0.222731863592471,0.0862248988617202,"signif"
1,"Enterobacteriaceae.8","glucose_glycine","SA","glucose","glycine",0.111244446136483,0.0626363367098279,"signif"
1,"Enterobacteriaceae.8","glucose_ribose","SS","glucose","ribose",0.0208554902918681,0.0146703451568694,"signif"
1,"Enterobacteriaceae.8","succinate_benzoate","AA","succinate","benzoate",-0.00251642805810257,0.00124437488184387,"signif"
1,"Enterobacteriaceae.8","succinate_cellobiose","SA","succinate","cellobiose",0.0039576537118791,0.0274585513953294,"ns"
1,"Enterobacteriaceae.8","succinate_fructose","SA","succinate","fructose",-0.00829207843641056,0.00838869995850888,"ns"
1,"Enterobacteriaceae.8","succinate_fumarate","AA","succinate","fumarate",0.00369574393461082,0.00450782227646969,"ns"
1,"Enterobacteriaceae.8","succinate_glutamine","AA","succinate","glutamine",-0.00221551974298315,0.00124209404614807,"ns"
1,"Enterobacteriaceae.8","succinate_glycerol","SA","succinate","glycerol",-0.300615918813818,0.089824412045497,"signif"
1,"Enterobacteriaceae.8","succinate_glycine","AA","succinate","glycine",-0.00487757867874284,0.00310809964462139,"ns"
1,"Enterobacteriaceae.8","succinate_ribose","SA","succinate","ribose",-0.00347099805110422,0.00146777754026522,"signif"
1,"Enterococcus","glucose_benzoate","SA","glucose","benzoate",-0.00347675194440733,0.00204262842140006,"signif"
1,"Enterococcus","glucose_cellobiose","SS","glucose","cellobiose",-0.00159653038395993,0.00155708664736086,"ns"
1,"Enterococcus","glucose_fumarate","SA","glucose","fumarate",0.00425710079117907,0.00357957848082919,"ns"
1,"Enterococcus","glucose_glutamine","SA","glucose","glutamine",0.0011080422436882,0.00418992238423547,"ns"
1,"Enterococcus","glucose_glycine","SA","glucose","glycine",-0.000130098536601624,0.000129398123357634,"ns"
1,"Enterococcus","succinate_benzoate","AA","succinate","benzoate",0.000578964954217549,0.00308033904170547,"ns"
1,"Enterococcus","succinate_cellobiose","SA","succinate","cellobiose",-0.000745989373900613,0.0016502601720035,"ns"
1,"Enterococcus","succinate_fructose","SA","succinate","fructose",0.000158805447627735,0.000215718443875504,"ns"
1,"Enterococcus","succinate_fumarate","AA","succinate","fumarate",-0.000179974186686083,0.000449220373497242,"ns"
1,"Enterococcus","succinate_glutamine","AA","succinate","glutamine",-0.00529325836811607,0.00251576760728401,"signif"
1,"Enterococcus","succinate_glycerol","SA","succinate","glycerol",0.000163482930294022,0.000646413438233431,"ns"
1,"Enterococcus","succinate_glycine","AA","succinate","glycine",-0.000452963096717013,0.00020331046888799,"ns"
1,"Enterococcus","succinate_ribose","SA","succinate","ribose",-0.000326856915300462,0.000140161555580827,"signif"
1,"Herbaspirillum","glucose_benzoate","SA","glucose","benzoate",-0.000420154923459117,0.000600338906823531,"ns"
1,"Herbaspirillum","glucose_fructose","SS","glucose","fructose",-3.39582214525968e-05,0.000120154604196627,"ns"
1,"Herbaspirillum","glucose_fumarate","SA","glucose","fumarate",0.00990182417056435,0.00926041066820824,"ns"
1,"Herbaspirillum","glucose_glutamine","SA","glucose","glutamine",0.0537021488713614,0.0416168624951372,"ns"
1,"Herbaspirillum","glucose_glycerol","SS","glucose","glycerol",-0.00116387707655655,0.00105912717323192,"ns"
1,"Herbaspirillum","glucose_glycine","SA","glucose","glycine",-0.00011130735376776,0.00030314848313432,"ns"
1,"Herbaspirillum","glucose_ribose","SS","glucose","ribose",-0.00122342199272014,0.000321863546582663,"signif"
1,"Herbaspirillum","succinate_benzoate","AA","succinate","benzoate",-0.00269181319692891,0.00211110008903916,"ns"
1,"Herbaspirillum","succinate_cellobiose","SA","succinate","cellobiose",0.0642380477396963,0.0118795119312168,"signif"
1,"Herbaspirillum","succinate_fructose","SA","succinate","fructose",0.0425019522216508,0.0497398835896539,"ns"
1,"Herbaspirillum","succinate_fumarate","AA","succinate","fumarate",-0.00116663493954712,0.00170753046617396,"ns"
1,"Herbaspirillum","succinate_glutamine","AA","succinate","glutamine",-0.0183597023530472,0.0180177132726343,"ns"
1,"Herbaspirillum","succinate_glycerol","SA","succinate","glycerol",-0.00283033827614977,0.00191568830007623,"ns"
1,"Herbaspirillum","succinate_glycine","AA","succinate","glycine",-0.0022149181797223,0.00179181152504255,"ns"
1,"Herbaspirillum","succinate_ribose","SA","succinate","ribose",-0.00111404877538548,0.00365761024295314,"ns"
1,"Klebsiella","glucose_benzoate","SA","glucose","benzoate",-0.0240287165018746,0.024023852982304,"ns"
1,"Klebsiella","glucose_cellobiose","SS","glucose","cellobiose",-0.01528796052553,0.017511823347774,"ns"
1,"Klebsiella","glucose_fructose","SS","glucose","fructose",0.00249674700654057,0.0252184075308247,"ns"
1,"Klebsiella","glucose_fumarate","SA","glucose","fumarate",-0.0140241634221355,0.0142991325622799,"ns"
1,"Klebsiella","glucose_glutamine","SA","glucose","glutamine",-0.0153864452566889,0.0188098225297314,"ns"
1,"Klebsiella","glucose_glycerol","SS","glucose","glycerol",0.0196921079895613,0.0594568108187362,"ns"
1,"Klebsiella","glucose_glycine","SA","glucose","glycine",-0.0236515634668647,0.0248326899084362,"ns"
1,"Klebsiella","glucose_ribose","SS","glucose","ribose",-0.00664428291058718,0.0508734267028641,"ns"
1,"Klebsiella","succinate_benzoate","AA","succinate","benzoate",-0.0276718428716172,0.0449488767509001,"ns"
1,"Klebsiella","succinate_cellobiose","SA","succinate","cellobiose",1.69382103934148e-05,0.0334280851206411,"ns"
1,"Klebsiella","succinate_fructose","SA","succinate","fructose",-0.00684189345571418,0.0319907103785772,"ns"
1,"Klebsiella","succinate_fumarate","AA","succinate","fumarate",-0.0204739457414358,0.028798280917417,"ns"
1,"Klebsiella","succinate_glutamine","AA","succinate","glutamine",0.0541177748162002,0.0416487349064001,"ns"
1,"Klebsiella","succinate_glycerol","SA","succinate","glycerol",0.0797371125031056,0.0784722823946752,"ns"
1,"Klebsiella","succinate_glycine","AA","succinate","glycine",-0.0368189731814159,0.0370273114776633,"ns"
1,"Klebsiella","succinate_ribose","SA","succinate","ribose",-0.0390407408978189,0.0431733159130886,"ns"
1,"Lachnoclostridium_5","glucose_fumarate","SA","glucose","fumarate",-0.000631753813627336,0.00163591454823238,"ns"
1,"Lachnospiraceae.8","succinate_fumarate","AA","succinate","fumarate",0.00126260902014358,0.0022322172993838,"ns"
